Order,Seasonal Order,AIC,MAE,RMSE,MAPE
"(1, 1, 1)","(1, 1, 1, 12)",202.53700557326943,13580.179344826369,16260.69828548371,26.844398782570355
"(0, 1, 1)","(1, 1, 1, 12)",201.12653671135993,12827.813837355454,15247.020470725325,25.66151835704259
"(1, 1, 0)","(1, 1, 1, 12)",225.19330935618774,19146.7821302977,22127.684516142916,45.290403637709
"(0, 1, 1)","(0, 1, 1, 12)",199.13733638757,13006.710974634838,15495.150828705771,25.731532069392713
"(1, 1, 1)","(0, 1, 1, 12)",200.56879847465984,13326.078493244378,15815.228245091623,26.519681318794348
"(1, 0, 1)","(1, 1, 0, 12)",241.93429977143842,13183.749353848058,15834.687541995008,26.17073734228318
